id,invoice_id,bank_transaction_id,payment_date,amount_paid,deposit_currency,fx_rate_at_payment,amount_in_invoice_currency,fx_gain_loss,residual,created_at,updated_at
ip-UK-0005-565,UK-0005,565,2025-04-23,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0006-558,UK-0006,558,2025-04-30,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0007-531,UK-0007,531,2025-05-14,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0010-506,UK-0010,506,2025-06-04,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0018-440,UK-0018,440,2025-07-30,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0023-401,UK-0023,401,2025-08-27,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0033-292,UK-0033,292,2025-11-05,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0034-287,UK-0034,287,2025-11-12,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0050-61,UK-0050,61,2026-03-25,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0001-587,UK-0001,587,2025-04-02,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0002-587,UK-0002,587,2025-04-02,2976,GBP,,2976,0,0,2026-06-02,
ip-UK-0003-572,UK-0003,572,2025-04-16,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0004-572,UK-0004,572,2025-04-16,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0008-523,UK-0008,523,2025-05-28,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0009-523,UK-0009,523,2025-05-28,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0011-495,UK-0011,495,2025-06-18,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0012-495,UK-0012,495,2025-06-18,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0013-495,UK-0013,495,2025-06-18,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0014-476,UK-0014,476,2025-07-02,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0015-476,UK-0015,476,2025-07-02,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0016-461,UK-0016,461,2025-07-16,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0017-461,UK-0017,461,2025-07-16,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0019-413,UK-0019,413,2025-08-13,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0020-413,UK-0020,413,2025-08-13,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0021-406,UK-0021,406,2025-08-20,1800,GBP,,1800,0,0,2026-06-02,
ip-UK-0022-406,UK-0022,406,2025-08-20,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0024-349,UK-0024,349,2025-09-24,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0025-349,UK-0025,349,2025-09-24,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0026-349,UK-0026,349,2025-09-24,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0027-343,UK-0027,343,2025-10-01,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0028-343,UK-0028,343,2025-10-01,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0029-322,UK-0029,322,2025-10-15,1800,GBP,,1800,0,0,2026-06-02,
ip-UK-0030-322,UK-0030,322,2025-10-15,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0031-310,UK-0031,310,2025-10-29,2400,GBP,,2400,0,0,2026-06-02,
ip-UK-0032-310,UK-0032,310,2025-10-29,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0035-253,UK-0035,253,2025-12-03,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0036-253,UK-0036,253,2025-12-03,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0037-253,UK-0037,253,2025-12-03,1200,GBP,,1200,0,0,2026-06-02,
ip-UK-0038-211,UK-0038,211,2025-12-24,1800,GBP,,1800,0,0,2026-06-02,
ip-UK-0039-211,UK-0039,211,2025-12-24,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0040-211,UK-0040,211,2025-12-24,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0041-176,UK-0041,176,2026-01-21,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0042-176,UK-0042,176,2026-01-21,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0043-176,UK-0043,176,2026-01-21,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0044-176,UK-0044,176,2026-01-21,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0045-147,UK-0045,147,2026-02-18,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0046-147,UK-0046,147,2026-02-18,3000,GBP,,3000,0,0,2026-06-02,
ip-FZ-0005-10929,FZ-0005,10929,2026-05-20,2500,GBP,,2500,0,0,2026-06-02,
ip-FZ-0006-10929,FZ-0006,10929,2026-05-20,2000,GBP,,2000,0,0,2026-06-02,
ip-UK-0048-83,UK-0048,83,2026-03-11,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0049-83,UK-0049,83,2026-03-11,3000,GBP,,3000,0,0,2026-06-02,
ip-UK-0047-83,UK-0047,83,2026-03-11,3000,GBP,,3000,0,0,2026-06-02,
ip-FZ-0001-10924,FZ-0001,10924,2026-05-06,12042.28,AED,,2500,0,0,2026-06-02,
ip-FZ-0002-10924,FZ-0002,10924,2026-05-06,12042.28,AED,,2500,0,0,2026-06-02,
ip-FZ-0004-10924,FZ-0004,10924,2026-05-06,9633.82,AED,,2000,0,0,2026-06-02,
ip-FZ-0003-10924,FZ-0003,10924,2026-05-06,12042.28,AED,,2500,0,0,2026-06-02,
