id,contract_id,date,type,notes,external_logged,created_at,updated_at
dc-sow-2026-2025-07-28,dc-sow-2026,2025-07-28,holiday,Implied from invoice DC-002,false,2026-04-25,2026-04-25
dc-sow-2026-2025-07-29,dc-sow-2026,2025-07-29,holiday,Implied from invoice DC-002,false,2026-04-25,2026-04-25
dc-sow-2026-2025-07-30,dc-sow-2026,2025-07-30,holiday,Implied from invoice DC-002,false,2026-04-25,2026-04-25
dc-sow-2026-2025-07-31,dc-sow-2026,2025-07-31,holiday,Implied from invoice DC-002,false,2026-04-25,2026-04-25
dc-sow-2026-2025-09-29,dc-sow-2026,2025-09-29,holiday,Implied from invoice DC-004,false,2026-04-25,2026-04-25
dc-sow-2026-2025-09-30,dc-sow-2026,2025-09-30,holiday,Implied from invoice DC-004,false,2026-04-25,2026-04-25
dc-sow-2026-2025-10-29,dc-sow-2026,2025-10-29,holiday,Implied from invoice DC-005,false,2026-04-25,2026-04-25
dc-sow-2026-2025-10-30,dc-sow-2026,2025-10-30,holiday,Implied from invoice DC-005,false,2026-04-25,2026-04-25
dc-sow-2026-2025-10-31,dc-sow-2026,2025-10-31,holiday,Implied from invoice DC-005,false,2026-04-25,2026-04-25
dc-sow-2026-2025-11-27,dc-sow-2026,2025-11-27,holiday,Implied from invoice DC-006,false,2026-04-25,2026-04-25
dc-sow-2026-2025-11-28,dc-sow-2026,2025-11-28,holiday,Implied from invoice DC-006,false,2026-04-25,2026-04-25
dc-sow-2026-2026-01-30,dc-sow-2026,2026-01-30,holiday,Implied from invoice DC-008,false,2026-04-25,2026-04-25
dc-sow-2026-2026-03-25,dc-sow-2026,2026-03-25,holiday,Implied from invoice DC-010,false,2026-04-25,2026-04-25
dc-sow-2026-2026-03-26,dc-sow-2026,2026-03-26,holiday,Implied from invoice DC-010,false,2026-04-25,2026-04-25
dc-sow-2026-2026-03-27,dc-sow-2026,2026-03-27,holiday,Implied from invoice DC-010,false,2026-04-25,2026-04-25
dc-sow-2026-2026-03-30,dc-sow-2026,2026-03-30,holiday,Implied from invoice DC-010,false,2026-04-25,2026-04-25
dc-sow-2026-2026-03-31,dc-sow-2026,2026-03-31,holiday,Implied from invoice DC-010,false,2026-04-25,2026-04-25
